_id,id,Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage,Response
67e760ed1e62450149b187a7,20709,Female,39,1,15.0,0,1-2 Year,No,28346.0,124.0,84,0
67e760ca1e62450149b17a39,17271,Female,48,1,28.0,0,1-2 Year,Yes,2630.0,26.0,106,0
67e7613d1e62450149b1a714,28754,Male,63,1,16.0,1,1-2 Year,No,23900.0,26.0,42,0
67e761291e62450149b19f1f,26717,Female,56,1,28.0,0,1-2 Year,Yes,24518.0,124.0,80,0
67e762281e62450149b202e7,52261,Female,53,1,37.0,0,1-2 Year,Yes,45856.0,26.0,278,0
67e762261e62450149b20201,52031,Male,53,1,29.0,1,1-2 Year,No,44257.0,124.0,33,0
67e7617a1e62450149b1bee1,34847,Female,45,1,28.0,0,1-2 Year,Yes,48533.0,26.0,11,0
67e760d81e62450149b17f82,18624,Female,44,1,41.0,0,1-2 Year,Yes,28182.0,124.0,77,0
67e760581e62450149b1512c,6762,Male,47,1,31.0,0,1-2 Year,Yes,2630.0,26.0,226,0
67e760341e62450149b14340,3198,Female,34,1,8.0,0,1-2 Year,Yes,26139.0,124.0,262,0
67e7603b1e62450149b1459f,3805,Female,46,1,28.0,0,1-2 Year,Yes,37724.0,124.0,201,0
67e760d01e62450149b17c61,17823,Male,47,1,19.0,0,1-2 Year,Yes,17875.0,124.0,68,0
67e762281e62450149b202e8,52262,Male,42,1,8.0,0,1-2 Year,No,56468.0,124.0,77,0
67e760e71e62450149b1859e,20188,Male,34,1,15.0,1,1-2 Year,No,33443.0,152.0,17,0
67e761af1e62450149b1d3ac,40170,Female,30,1,29.0,1,< 1 Year,No,45396.0,124.0,36,0
67e760dd1e62450149b181a8,19174,Female,24,1,43.0,1,< 1 Year,No,30801.0,152.0,268,0
67e760c31e62450149b17776,16564,Female,40,1,28.0,0,1-2 Year,Yes,40395.0,124.0,87,1
67e7608b1e62450149b164e6,11812,Male,27,1,41.0,1,< 1 Year,No,27295.0,152.0,201,0
67e760491e62450149b14b3f,5245,Male,47,1,18.0,1,1-2 Year,No,43398.0,122.0,223,0
67e761ac1e62450149b1d26c,39850,Male,22,1,28.0,0,< 1 Year,Yes,37450.0,152.0,232,0
67e761371e62450149b1a488,28102,Male,53,1,39.0,0,1-2 Year,Yes,58390.0,127.0,132,0
